OBJECTID,OBJECTID_12_13,DEPCODE,COUNTY,COUNTYNAME,County_1,State,PUIsTotal,Age_0_4,Age_5_14,Age_15_24,Age_25_34,Age_35_44,Age_45_54,Age_55_64,Age_65_74,Age_75_84,Age_85plus,Age_Unkn,PUIAgeRange,PUIAgeMedian,PUIFemale,PUIMale,PUISexUnkn,PUIFLRes,PUINotFLRes,PUIFLResOut,PUIContNo,PUIContUnkn,PUIAgeAvrg,PUITravelNo,PUITravelYes,TPositive,TNegative,TInconc,TPending,T_Total_Res,T_LabPrivate_Res,T_LabDOH_Res,T_LabPrivate_NonRes,T_LabDOH_NonRes,C_Female,C_Male,C_SexUnkn,C_AllResTypes,C_Age_0_4,C_Age_5_14,C_Age_15_24,C_Age_25_34,C_Age_35_44,C_Age_45_54,C_Age_55_64,C_Age_65_74,C_Age_75_84,C_Age_85plus,C_Age_Unkn,C_AgeRange,C_AgeMedian,C_RaceWhite,C_RaceBlack,C_RaceOther,C_RaceUnknown,C_HispanicYES,C_HispanicNO,C_HispanicUnk,C_EDYes_Res,C_EDYes_NonRes,C_HospYes_Res,C_HospYes_NonRes,C_NonResDeaths,C_FLResDeaths,CasesAll,C_Men,C_Women,C_FLRes,C_NotFLRes,C_FLResOut,T_NegRes,T_NegNotFLRes,T_total,T_negative,T_positive,Deaths,EverMon,MonNow,Shape__Area,Shape__Length,Chart_MedAge
27,27,35,069,LAKE,Lake,FL,12443,169,193,606,1078,1207,1566,1999,2278,1578,490,1279,0 to 103,58,6425,4988,1030,12332,111,0,106,12032,222,284,88,264,12161,10,8,12314,236,16,12,0,125,127,0,252,1,8,16,29,36,51,40,45,36,2,0,1 to 86,52,131,36,74,11,72,166,14,110,10,66,4,1,14,264,134,130,252,12,0,13286,99,13669,13385,264,14,324,90,2995995460.71371,331014.242454318,52
28,28,38,075,LEVY,Levy,FL,1103,16,25,95,138,132,155,194,175,111,61,1,0 to 118,54,687,404,12,1103,0,0,16,990,16,167,2,27,1075,1,0,1102,24,3,0,0,20,7,0,27,0,0,2,4,6,3,7,1,1,3,0,16 to 99,49,16,5,1,5,3,19,5,8,0,3,0,0,0,27,7,20,27,0,0,1509,0,1537,1509,27,0,58,9,2900663690.96646,339394.964008615,53
29,29,60,119,SUMTER,Sumter,FL,3242,19,23,73,131,144,242,436,1247,747,94,86,0 to 118,69,1562,1482,198,3216,26,0,103,2895,164,263,53,254,2965,0,23,3193,203,48,2,1,71,180,0,251,0,0,7,6,30,40,39,87,37,8,0,17 to 97,65,210,33,5,3,14,232,5,58,0,44,0,0,17,254,182,72,251,3,0,3338,23,3636,3361,254,17,50,38,1502516062.89801,229328.389599522,66
30,30,59,117,SEMINOLE,Seminole,FL,13625,178,323,987,1689,1851,2142,2284,1994,904,389,884,0 to 118,51,7784,5735,106,13602,23,0,221,13069,246,426,91,445,13165,12,3,13587,393,46,6,0,239,200,0,439,7,8,42,79,65,81,57,62,26,18,0,0 to 100,47,318,64,55,2,159,270,10,182,5,105,1,0,12,445,202,243,439,6,0,16334,17,16810,16351,445,12,396,153,893350621.597626,158549.770327082,47
31,31,48,095,ORANGE,Orange,FL,50363,895,1137,3633,7016,7493,8063,8156,5678,2595,902,4795,0 to 120,48,27925,22176,262,49492,870,1,560,48766,585,1316,358,1726,48576,46,15,49432,1551,100,71,4,790,861,0,1651,23,38,179,306,313,355,273,134,74,31,0,0 to 101,45,761,244,593,53,784,790,77,569,41,300,35,5,38,1726,906,820,1650,75,1,57014,795,59598,57809,1726,38,615,412,2601855780.29929,275135.911496092,45
32,32,9,017,CITRUS,Citrus,FL,2832,31,46,140,278,269,357,525,637,404,136,9,0 to 98,60,1566,1062,204,2827,5,0,47,2608,119,195,25,115,2714,2,1,2825,55,60,0,0,55,60,0,115,2,4,8,8,6,17,28,19,14,9,0,0 to 93,60,80,1,9,25,13,78,24,30,0,32,0,0,12,115,60,55,115,0,0,3136,4,3258,3140,115,12,471,70,1565249379.23035,242867.273750112,58
33,33,27,053,HERNANDO,Hernando,FL,2679,51,50,185,360,348,426,485,401,268,101,4,0 to 119,53,1588,1080,11,2663,16,0,59,2536,66,142,40,108,2571,0,0,2663,58,46,3,1,50,54,0,104,1,6,6,21,14,14,21,15,9,1,0,1 to 85,48,86,15,2,1,23,79,2,34,2,22,2,1,5,108,55,53,104,4,0,3033,12,3173,3045,108,5,53,25,1259956856.20596,200494.167365377,49
34,34,52,103,PINELLAS,Pinellas,FL,27544,281,296,1541,3160,3192,4075,5462,4865,2934,1665,73,0 to 120,57,16122,11347,75,27273,271,0,1305,25434,411,2405,352,1109,26358,13,64,27197,959,106,38,6,596,469,0,1065,4,17,69,144,117,171,192,159,123,113,0,0 to 101,56,787,175,65,38,95,891,79,310,18,322,16,1,73,1109,496,613,1065,44,0,31066,226,32426,31292,1109,73,320,228,758940582.722305,356104.408630079,56
35,35,61,121,SUWANNEE,Suwannee,FL,1581,40,29,103,195,176,184,246,232,176,191,9,0 to 118,57,1026,477,78,1577,4,0,56,1370,110,467,9,161,1420,0,0,1577,59,98,1,3,110,47,0,157,1,5,14,15,21,18,18,20,29,20,0,1 to 102,59,106,40,2,9,12,134,11,29,1,36,0,0,18,161,49,112,157,4,0,1856,0,2024,1856,161,18,6,4,1792465815.52835,223150.095858967,63
36,36,16,031,DUVAL,Duval,FL,39695,596,816,3519,6320,5872,6210,7247,5230,2576,1199,109,-35 to 119,49,21767,17122,806,39263,432,0,504,38148,454,1281,177,1355,38250,14,76,39173,1168,134,43,10,704,597,1,1302,16,28,127,219,216,205,237,166,86,55,0,0 to 101,49,597,503,131,71,165,1024,113,297,15,229,8,1,37,1355,621,731,1302,53,0,43947,379,45732,44326,1355,37,843,727,2136692125.83844,339628.979868484,50
