OBJECTID,OBJECTID_12_13,DEPCODE,COUNTY,COUNTYNAME,County_1,State,PUIsTotal,Age_0_4,Age_5_14,Age_15_24,Age_25_34,Age_35_44,Age_45_54,Age_55_64,Age_65_74,Age_75_84,Age_85plus,Age_Unkn,PUIAgeRange,PUIAgeMedian,PUIFemale,PUIMale,PUISexUnkn,PUIFLRes,PUINotFLRes,PUIFLResOut,PUIContNo,PUIContUnkn,PUIAgeAvrg,PUITravelNo,PUITravelYes,TPositive,TNegative,TInconc,TPending,T_Total_Res,T_LabPrivate_Res,T_LabDOH_Res,T_LabPrivate_NonRes,T_LabDOH_NonRes,C_Female,C_Male,C_SexUnkn,C_AllResTypes,C_Age_0_4,C_Age_5_14,C_Age_15_24,C_Age_25_34,C_Age_35_44,C_Age_45_54,C_Age_55_64,C_Age_65_74,C_Age_75_84,C_Age_85plus,C_Age_Unkn,C_AgeRange,C_AgeMedian,C_RaceWhite,C_RaceBlack,C_RaceOther,C_RaceUnknown,C_HispanicYES,C_HispanicNO,C_HispanicUnk,C_EDYes_Res,C_EDYes_NonRes,C_HospYes_Res,C_HospYes_NonRes,C_NonResDeaths,C_FLResDeaths,CasesAll,C_Men,C_Women,C_FLRes,C_NotFLRes,C_FLResOut,T_NegRes,T_NegNotFLRes,T_total,T_negative,T_positive,Deaths,EverMon,MonNow,Shape__Area,Shape__Length,Chart_MedAge
56,56,8,015,CHARLOTTE,Charlotte,FL,3796,33,30,184,319,384,514,712,659,519,438,4,0 to 102,60,2269,1492,35,3779,17,0,113,3445,62,336,15,370,3419,1,6,3773,263,106,0,1,234,135,0,369,1,2,11,32,18,35,69,58,63,81,0,3 to 101,69,284,40,9,36,15,307,47,60,1,88,1,0,41,370,136,234,369,1,0,3404,15,3790,3419,370,41,79,58,1825525431.11919,398247.923422686,68
57,57,58,115,SARASOTA,Sarasota,FL,8314,111,93,420,769,829,1054,1476,1621,1249,665,27,0 to 115,60,4730,3472,112,8114,200,0,375,7654,190,747,85,498,7812,2,2,8110,429,53,10,6,285,197,0,482,2,1,20,40,52,57,68,90,97,71,0,0 to 104,66,394,31,31,26,45,385,52,170,10,145,7,1,58,498,207,291,482,16,0,7628,184,8312,7812,498,58,223,117,1509311882.53409,264158.506465067,64
58,58,14,027,DESOTO,Desoto,FL,1481,23,19,79,180,212,307,353,175,93,36,4,0 to 101,52,500,902,79,1473,8,0,8,1379,48,135,6,61,1414,0,6,1467,45,16,0,0,26,35,0,61,0,0,2,11,5,10,16,8,5,4,0,20 to 92,57,46,1,0,14,15,25,21,15,0,14,0,0,6,61,35,26,61,0,0,1406,8,1475,1414,61,6,68,46,1654926851.96404,168390.780925558,62
59,59,18,035,FLAGLER,Flagler,FL,2536,31,22,112,257,333,369,515,491,303,99,4,0 to 98,57,1464,1029,43,2511,25,0,52,2414,37,140,36,156,2374,6,0,2505,134,18,4,0,86,66,0,152,0,1,9,17,19,25,39,32,12,2,0,7 to 94,56,101,15,29,7,18,125,9,26,2,17,2,1,4,156,67,89,152,4,0,2353,21,2536,2374,156,4,58,29,1294754947.55994,220559.838719988,56
60,60,26,051,HENDRY,Hendry,FL,1161,27,28,118,179,177,179,181,105,86,74,7,0 to 104,47,656,498,7,1159,2,0,33,1006,32,206,2,205,954,1,1,1157,175,30,0,0,100,105,0,205,5,4,18,32,35,28,30,16,21,16,0,0 to 101,47,129,47,5,24,98,91,16,58,0,38,0,0,12,205,105,100,205,0,0,952,2,1160,954,205,12,281,65,3080878042.06929,290231.154940413,48
61,61,31,061,INDIAN RIVER,Indian River,FL,3035,36,37,169,283,287,391,553,632,416,219,12,0 to 105,60,1830,1170,35,2989,46,0,100,2789,77,207,56,104,2866,0,65,2926,80,13,9,2,44,49,0,93,0,1,6,10,8,14,16,23,16,10,0,8 to 96,64,63,8,16,6,7,71,15,46,6,25,3,0,9,104,56,48,93,11,0,2833,33,2970,2866,104,9,361,90,1319798862.49319,234087.653130679,64
62,62,6,011,BROWARD,Broward,FL,72585,690,932,4693,10749,11428,13302,13788,9435,4916,2499,153,0 to 119,50,39430,31564,1591,71400,1185,0,1413,67439,2336,5251,907,6201,66302,60,22,71321,4919,1130,130,22,3047,3000,2,6049,19,58,469,968,977,1169,1129,699,445,268,0,0 to 102,50,3006,2169,573,301,1965,3829,255,1998,63,1250,51,22,278,6201,3096,3103,6049,152,0,65272,1030,72563,66302,6201,278,789,450,3142374056.01305,291881.846057183,50
63,63,17,033,ESCAMBIA,Escambia,FL,12574,335,324,968,1615,1513,1745,2312,1960,1133,646,23,0 to 119,53,7490,5054,30,10869,1705,0,122,12103,183,573,61,682,11875,10,7,10852,521,56,105,0,333,244,0,577,5,8,62,67,97,80,110,99,95,59,0,0 to 105,57,268,204,16,89,12,414,151,78,0,59,0,0,20,682,285,397,577,105,0,10275,1600,12567,11875,682,20,129,54,1767890300.40206,439974.169549806,54
64,64,47,093,OKEECHOBEE,Okeechobee,FL,1066,17,21,121,129,109,146,158,125,132,103,5,0 to 100,54,643,407,16,1060,6,0,39,1003,2,57,7,34,1030,2,0,1058,21,12,1,0,17,16,0,33,0,2,9,7,2,5,4,3,1,1,0,6 to 87,34,26,3,0,4,8,20,5,3,0,5,1,0,0,34,17,17,33,1,0,1025,5,1066,1030,34,0,40,23,2307690905.70045,272539.677334045,56
65,65,19,037,FRANKLIN,Franklin,FL,225,1,3,12,17,11,25,51,66,36,3,0,3 to 87,63,113,111,1,224,1,0,8,217,0,5,3,2,223,0,0,224,0,1,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,25 to 60,42,1,0,0,0,0,1,0,0,0,0,0,0,0,2,0,2,1,1,0,223,0,225,223,2,0,3,2,1445840682.56789,446544.245992026,42
66,66,1,001,ALACHUA,Alachua,FL,10210,171,131,1083,1745,1411,1391,1707,1404,712,394,61,0 to 119,49,5868,4163,179,10008,202,0,167,9899,61,335,50,329,9874,7,0,10001,271,44,5,9,184,131,0,315,3,3,46,58,37,49,51,52,19,10,1,0 to 94,49,130,111,21,53,23,233,59,89,4,64,2,0,7,329,137,192,315,14,0,9686,188,10210,9874,329,7,76,55,2510756491.26947,272135.471452184,49
67,67,55,109,ST. JOHNS,St. Johns,FL,7709,105,173,497,795,1149,1281,1413,1259,684,340,13,0 to 119,53,4294,3294,121,7688,21,0,205,7256,208,311,117,231,7447,25,6,7657,178,43,7,3,112,109,0,221,2,5,17,21,25,51,53,40,13,4,0,2 to 97,53,174,14,14,19,15,179,27,57,3,37,3,0,5,231,115,116,221,10,0,7436,11,7703,7447,231,5,151,117,1658206648.51031,344848.248220385,53
68,999,999,999,Unknown,Unknown,FL,252,0,2,18,45,43,59,38,21,15,9,2,6 to 119,47,127,120,5,44,208,0,0,250,0,3,5,79,172,0,1,44,1,1,76,1,0,2,0,2,0,1,5,24,17,19,7,1,4,1,0,6 to 86,41,0,0,0,2,0,0,2,0,0,0,0,0,0,79,50,29,2,77,0,42,130,251,172,79,0,16,13,426757389.663452,73231.2921286601,36
